(FALSE HIGH HIGH TRUE HIGH FALSE LOW FALSE HIGH HIGH FALSE HIGH TRUE FALSE LOW LOW FALSE ZERO NORMAL LOW LOW NORMAL FALSE NORMAL NORMAL HIGH TRUE NORMAL NORMAL ZERO ZERO ZERO HIGH HIGH HIGH LOW LOW)
(FALSE NORMAL HIGH FALSE NORMAL FALSE NORMAL FALSE HIGH HIGH FALSE HIGH FALSE TRUE LOW NORMAL FALSE ZERO NORMAL LOW LOW NORMAL FALSE NORMAL ESOPHAGEAL HIGH FALSE NORMAL NORMAL LOW LOW ZERO HIGH HIGH HIGH HIGH LOW)
(FALSE NORMAL NORMAL FALSE NORMAL FALSE NORMAL FALSE HIGH HIGH FALSE LOW FALSE FALSE LOW LOW TRUE ZERO NORMAL LOW LOW NORMAL FALSE NORMAL NORMAL LOW FALSE NORMAL NORMAL HIGH ZERO ZERO HIGH HIGH HIGH HIGH LOW)
(FALSE NORMAL NORMAL FALSE NORMAL FALSE NORMAL FALSE HIGH HIGH FALSE HIGH FALSE FALSE NORMAL LOW FALSE ZERO NORMAL LOW LOW NORMAL FALSE NORMAL NORMAL LOW FALSE NORMAL NORMAL LOW ZERO ZERO HIGH HIGH HIGH HIGH HIGH)
(FALSE NORMAL NORMAL FALSE NORMAL FALSE NORMAL FALSE HIGH NORMAL TRUE NORMAL FALSE FALSE NORMAL LOW FALSE ZERO NORMAL LOW LOW NORMAL FALSE NORMAL NORMAL HIGH FALSE NORMAL NORMAL LOW ZERO ZERO HIGH HIGH HIGH HIGH HIGH)
(FALSE HIGH HIGH TRUE HIGH FALSE LOW FALSE HIGH HIGH FALSE HIGH FALSE FALSE NORMAL LOW FALSE HIGH NORMAL HIGH HIGH NORMAL FALSE NORMAL NORMAL HIGH FALSE NORMAL LOW ZERO LOW HIGH LOW HIGH HIGH NORMAL NORMAL)
(FALSE HIGH HIGH TRUE HIGH FALSE LOW FALSE LOW LOW FALSE LOW FALSE FALSE HIGH LOW FALSE HIGH NORMAL HIGH HIGH NORMAL FALSE NORMAL NORMAL HIGH TRUE NORMAL NORMAL ZERO LOW HIGH LOW NORMAL NORMAL NORMAL HIGH)
(FALSE NORMAL LOW TRUE NORMAL FALSE LOW FALSE HIGH HIGH FALSE HIGH FALSE FALSE HIGH LOW FALSE ZERO NORMAL LOW LOW LOW FALSE NORMAL NORMAL LOW FALSE NORMAL NORMAL LOW ZERO LOW HIGH HIGH HIGH NORMAL NORMAL)
(FALSE HIGH HIGH TRUE HIGH FALSE LOW TRUE LOW HIGH FALSE HIGH FALSE FALSE NORMAL LOW FALSE HIGH NORMAL HIGH HIGH NORMAL FALSE NORMAL NORMAL HIGH TRUE NORMAL NORMAL ZERO LOW HIGH LOW HIGH HIGH LOW LOW)
(FALSE NORMAL NORMAL FALSE NORMAL FALSE NORMAL FALSE HIGH HIGH FALSE HIGH FALSE FALSE LOW LOW FALSE ZERO NORMAL LOW LOW NORMAL FALSE NORMAL NORMAL LOW FALSE NORMAL NORMAL LOW ZERO ZERO HIGH HIGH HIGH HIGH LOW)
